Role Name,Role ID
XPLeveling,1129605871714979962
XP,1116521454855536691
Nero Software,1128573265074470914
Speakers,1128569619012128871
Default Role,1123093081449840712
Stranger,1129510284583784448
Passerby,1116884145885433906
Party Crasher,1116624694431465564
Couch Potato,1116885598863638538
Lounge Lurker,1116888810572222514
Social Butterfly,1116624701159116831
Storyteller,1116624704229347328
Chatterbox,1116624707085672512
Groovy Guest,1116886920161665024
Conversationalist,1116624709572898888
Fun Lover,1116624712307580968
Vibrant Personality,1129901549875888170
Night Life Dweller,1129902197157675098
Partygoer,1116624714589282355
Disco Diva,1116888151990992976
Epic Raver,1129902757843841044
Thrillseeker,1116624716749344818
Entertainer,1129902982004232303
Karaoke King,1116624719056211968
Big Vibin',1129903491612151858
Party Starter,1116624721971257355
Smooth Talker,1116624731949506580
Silver Tongue,1116624734092804106
Liquor Lord,1129904655313404014
Party Animal,1116886077299503154
Golden Voice,1116624736726818846
Mic Dropper,1116888490282602546
The Guitar Hero,1116887572103303228
Master of Ceremonies,1116884883025973388
Life of the Party,1116624739264380988
Party God,1116887939721482370
Speaker of the House,1116884305373839400
Stargazer,1130484362912223332
Astronaut,1130484359032479805
Meteorite Hunter,1130484366578024508
Galactic Explorer,1130484371422457956
Nebula Navigator,1130484378359824395
Celestial Voyager,1130484386027032587
Cosmic Adventurer,1130484393727766588
Astro Trailblazer,1130484399297790082
Galaxy Guardian,1130484403882164355
Universal Sentinel,1130484410832146472
Interstellar Legend,1130484414686699550
Cosmic Overlord,1130484418914566286
Party Spectre,1114779091804110932
Party Turtle,1114781655035555934
Automatic Garbage Can,1114776386155053119
Gaming Pager,1114426349155782749
The Party,938995871855566868
DJs,1104323172913922088
Fortnite Paddle Ass,1112913488579395645
CoD Cuck,1114419036474855544
Overwatch Besties,1112906381389992036
The Hype,1067661248122065037
Party Funder,955379275828183061
Pink,1114784623122186331
Orange,1114784623260614687
Green,1114784622610501692
Red,1114784621348012083
Yellow,1114784624154005524
Blue,1114784624669900861
Purple,1114784622111379546
AR AR AR AR AR AR,1120099624095584337
#1 E-Kitten,1104324279924969502
Yours Truly,938990902343516180
The Grand Wizard,1116624741474779237
Smart Home,1112171108121190452
